1.0 C n79 M1
1.0 CONN n72 n294 up
6.099999999999994 CONN n331 n225 up
7.099999999999991 CONN n317 n225 up
8.099999999999987 CONN n249 n225 up
8.099999999999987 CONN n249 n317 up
8.099999999999987 CONN n361 n225 up
8.099999999999987 CONN n361 n331 up
8.099999999999987 CONN n361 n317 up
8.099999999999987 CONN n361 n249 up
8.999999999999984 CONN n249 n331 up
9.499999999999982 CONN n225 n331 down
10.09999999999998 CONN n335 n331 up
11.099999999999977 CONN n101 n358 up
11.099999999999977 CONN n26 n361 up
12.099999999999973 CONN n19 n26 up
13.899999999999967 CONN n354 n208 up
14.099999999999966 CONN n38 n225 up
14.099999999999966 CONN n38 n331 up
14.099999999999966 CONN n38 n317 up
14.099999999999966 CONN n38 n249 up
14.099999999999966 CONN n38 n361 up
14.099999999999966 CONN n38 n26 up
14.599999999999964 CONN n38 n331 down
15.099999999999962 CONN n157 n335 up
15.199999999999962 CONN n249 n361 down
15.199999999999962 CONN n294 n72 down
15.69999999999996 CONN n331 n157 up
16.09999999999996 CONN n69 n225 up
16.09999999999996 CONN n69 n331 up
16.09999999999996 CONN n69 n317 up
16.09999999999996 CONN n69 n361 up
16.09999999999996 CONN n69 n26 up
16.09999999999996 CONN n69 n38 up
16.89999999999997 CONN n38 n249 down
17.899999999999984 CONN n361 n19 up
18.39999999999999 CONN n331 n361 down
19.0 CONN n283 n273 up
19.400000000000006 CONN n19 n69 up
20.000000000000014 CONN n334 n249 up
20.000000000000014 CONN n334 n225 up
20.000000000000014 CONN n9 n331 up
20.000000000000014 CONN n9 n335 up
20.000000000000014 CONN n9 n157 up
20.40000000000002 CONN n69 n331 down
20.50000000000002 CONN n331 n334 up
21.300000000000033 CONN n334 n9 up
21.300000000000033 CONN n361 n225 down
21.70000000000004 CONN n38 n19 up
22.800000000000054 CONN n334 n317 up
23.30000000000006 CONN n62 n225 up
23.30000000000006 CONN n62 n317 up
24.200000000000074 CONN n335 n334 up
24.400000000000077 CONN n361 n317 down
24.900000000000084 CONN n249 n9 up
25.40000000000009 CONN n249 n62 up
25.40000000000009 CONN n157 n334 up
27.000000000000114 CONN n152 n282 up
27.100000000000115 CONN n18 n154 up
27.40000000000012 CONN n331 n249 down
27.50000000000012 CONN n335 n225 up
27.800000000000125 CONN n225 n69 down
28.20000000000013 CONN n335 n249 up
29.800000000000153 CONN n335 n38 up
30.100000000000158 CONN n9 n225 up
30.400000000000162 CONN n335 n317 up
30.800000000000168 CONN n212 n273 up
31.00000000000017 CONN n62 n334 up
32.9000000000002 CONN n273 n212 down
33.400000000000205 CONN n38 n62 up
33.500000000000206 CONN n38 n334 up
33.70000000000021 CONN n361 n38 down
33.80000000000021 CONN n38 n225 down
34.50000000000022 CONN n225 n38 up
34.900000000000226 CONN n26 n335 up
36.200000000000244 CONN n319 n361 up
36.300000000000246 CONN n335 n62 up
37.30000000000026 CONN n69 n361 down
37.90000000000027 CONN n78 n67 up
38.60000000000028 CONN n264 n9 up
38.70000000000028 CONN n157 n19 up
38.70000000000028 CONN n283 n273 down
39.100000000000286 CONN n208 n354 down
39.20000000000029 CONN n157 n9 down
39.40000000000029 CONN n157 n26 up
39.700000000000294 CONN n9 n62 up
40.70000000000031 CONN n26 n334 up
41.100000000000314 CONN n157 n38 up
41.900000000000325 CONN n19 n335 up
42.00000000000033 CONN n335 n331 down
42.30000000000033 CONN n62 n157 up
42.30000000000033 CONN n361 n26 down
42.600000000000335 CONN n9 n317 up
43.10000000000034 CONN n335 n9 down
43.40000000000035 CONN n319 n19 up
43.40000000000035 CONN n69 n317 down
44.30000000000036 CONN n38 n249 up
44.30000000000036 CONN n26 n62 up
44.50000000000036 CONN n331 n9 down
44.700000000000365 CONN n9 n334 down
45.10000000000037 CONN n331 n334 down
46.100000000000385 CONN n211 n275 up
46.60000000000039 CONN n225 n69 up
46.700000000000394 CONN n225 n26 up
46.700000000000394 CONN n317 n157 up
46.800000000000395 CONN n69 n335 up
47.2000000000004 CONN n69 n249 up
47.400000000000404 CONN n38 n317 down
47.500000000000405 CONN n9 n249 down
47.500000000000405 CONN n26 n249 up
47.80000000000041 CONN n9 n225 down
48.00000000000041 CONN n69 n334 up
48.10000000000041 CONN n69 n334 down
48.60000000000042 CONN n282 n152 down
48.80000000000042 CONN n19 n157 down
48.900000000000425 CONN n77 n98 up
49.40000000000043 CONN n38 n157 down
49.600000000000435 CONN n157 n225 up
50.00000000000044 CONN n38 n62 down
50.10000000000044 CONN n319 n38 up
50.300000000000445 CONN n62 n9 down
51.100000000000456 CONN n319 n26 up
51.20000000000046 CONN n338 n163 up
51.20000000000046 CONN n361 n208 up
51.40000000000046 CONN n38 n334 down
51.800000000000466 CONN n361 n19 down
52.30000000000047 CONN n38 n225 down
52.60000000000048 CONN n334 n331 up
52.90000000000048 CONN n317 n335 down
52.90000000000048 CONN n319 n361 down
53.100000000000485 CONN n318 n289 up
53.800000000000495 CONN n335 n319 up
54.4000000000005 CONN n69 n62 up
54.80000000000051 CONN n334 n249 down
54.80000000000051 CONN n225 n157 down
55.300000000000516 CONN n249 n335 down
55.80000000000052 CONN n282 n152 up
56.30000000000053 CONN n335 n225 down
56.600000000000534 CONN n19 n69 down
57.400000000000546 CONN n264 n120 up
57.60000000000055 CONN n26 n317 up
57.70000000000055 CONN n317 n249 down
58.000000000000554 CONN n157 n319 up
58.100000000000556 CONN n26 n19 down
58.50000000000056 CONN n273 n283 up
58.800000000000566 CONN n225 n334 down
59.80000000000058 CONN n249 n62 down
61.0000000000006 CONN n331 n157 down
62.300000000000615 CONN n78 n67 down
62.300000000000615 CONN n38 n26 down
62.40000000000062 CONN n335 n69 down
62.60000000000062 CONN n18 n358 up
63.10000000000063 CONN n19 n208 up
63.30000000000063 CONN n335 n38 down
63.50000000000063 CONN n334 n317 down
63.90000000000064 CONN n334 n331 down
64.7000000000006 CONN n69 n319 up
64.90000000000059 CONN n249 n26 down
65.60000000000055 CONN n225 n317 down
65.70000000000054 CONN n38 n208 up
65.90000000000053 CONN n62 n319 up
66.5000000000005 CONN n18 n154 down
67.20000000000046 CONN n358 n101 down
67.50000000000044 CONN n69 n38 down
68.60000000000038 CONN n319 n157 down
69.10000000000035 CONN n225 n319 up
69.30000000000034 CONN n157 n317 down
69.60000000000032 CONN n19 n335 down
70.0000000000003 CONN n26 n317 down
70.20000000000029 CONN n19 n335 up
70.90000000000025 CONN n334 n120 up
71.10000000000024 CONN n358 n101 up
71.10000000000024 CONN n163 n338 down
72.30000000000017 CONN n19 n249 up
73.30000000000011 CONN n264 n120 down
73.30000000000011 CONN n19 n335 down
73.6000000000001 CONN n157 n319 up
74.90000000000002 CONN n120 n264 up
75.49999999999999 CONN n319 n38 down
75.69999999999997 CONN n62 n317 down
75.89999999999996 CONN n120 n9 up
75.99999999999996 CONN n26 n334 down
76.19999999999995 CONN n85 n264 up
76.39999999999993 CONN n65 n72 up
76.59999999999992 CONN n208 n19 down
76.79999999999991 CONN n225 n19 up
76.9999999999999 CONN n19 n26 up
77.29999999999988 CONN n18 n101 up
78.49999999999982 CONN n275 n211 down
79.69999999999975 CONN n249 n69 down
80.4999999999997 CONN n120 n334 down
80.99999999999967 CONN n225 n335 up
81.19999999999966 CONN n225 n249 down
82.09999999999961 CONN n38 n361 up
