1.0 C n79 M1
6.099999999999994 CONN n595 n6 up
6.099999999999994 CONN n45 n880 up
8.099999999999987 CONN n65 n53 up
9.099999999999984 CONN n784 n491 up
11.099999999999977 CONN n36 n6 up
11.099999999999977 CONN n36 n595 up
11.199999999999976 CONN n905 n36 up
12.099999999999973 CONN n299 n825 up
12.099999999999973 CONN n14 n905 up
14.099999999999966 CONN n606 n791 up
14.199999999999966 CONN n595 n905 up
14.399999999999965 CONN n491 n784 down
16.09999999999996 CONN n74 n6 up
16.09999999999996 CONN n74 n595 up
16.09999999999996 CONN n74 n905 up
16.09999999999996 CONN n74 n36 up
16.09999999999996 CONN n74 n14 up
17.099999999999973 CONN n894 n6 up
17.099999999999973 CONN n894 n595 up
17.099999999999973 CONN n894 n905 up
17.099999999999973 CONN n894 n36 up
17.099999999999973 CONN n894 n74 up
18.099999999999987 CONN n8 n6 up
18.099999999999987 CONN n8 n595 up
18.099999999999987 CONN n8 n894 up
18.099999999999987 CONN n8 n905 up
18.099999999999987 CONN n8 n36 up
18.099999999999987 CONN n8 n14 up
18.099999999999987 CONN n8 n74 up
19.0 CONN n483 n180 up
19.400000000000006 CONN n74 n6 down
20.000000000000014 CONN n710 n6 up
20.000000000000014 CONN n710 n595 up
20.000000000000014 CONN n710 n894 up
20.000000000000014 CONN n710 n905 up
20.000000000000014 CONN n710 n36 up
20.000000000000014 CONN n710 n74 up
20.000000000000014 CONN n710 n8 up
20.000000000000014 CONN n722 n6 up
20.000000000000014 CONN n722 n595 up
20.000000000000014 CONN n722 n894 up
20.000000000000014 CONN n722 n905 up
20.000000000000014 CONN n722 n36 up
20.000000000000014 CONN n722 n74 up
20.000000000000014 CONN n722 n8 up
20.000000000000014 CONN n722 n710 up
21.00000000000003 CONN n76 n4 up
21.00000000000003 CONN n601 n6 up
21.00000000000003 CONN n601 n595 up
21.00000000000003 CONN n601 n894 up
21.00000000000003 CONN n601 n36 up
21.00000000000003 CONN n601 n710 up
22.000000000000043 CONN n4 n76 down
23.000000000000057 CONN n429 n6 up
23.000000000000057 CONN n429 n595 up
23.000000000000057 CONN n429 n894 up
23.000000000000057 CONN n429 n601 up
23.000000000000057 CONN n429 n905 up
23.000000000000057 CONN n429 n36 up
23.000000000000057 CONN n429 n74 up
23.000000000000057 CONN n429 n8 up
23.000000000000057 CONN n429 n710 up
23.20000000000006 CONN n6 n8 down
25.000000000000085 CONN n341 n14 up
25.000000000000085 CONN n822 n625 up
25.100000000000087 CONN n6 n722 down
25.200000000000088 CONN n14 n341 down
25.600000000000094 CONN n707 n726 up
26.0000000000001 CONN n852 n595 up
26.0000000000001 CONN n852 n894 up
26.0000000000001 CONN n852 n722 up
26.80000000000011 CONN n429 n595 down
27.600000000000122 CONN n601 n722 up
28.000000000000128 CONN n843 n595 up
28.000000000000128 CONN n843 n722 up
28.000000000000128 CONN n843 n852 up
28.000000000000128 CONN n843 n905 up
