# time totalContactTime
120.0000 36.0000
240.0000 59.0000
300.0000 93.0000
540.0000 136.0000
600.0000 306.0000
660.0000 382.0000
720.0000 406.0000
1140.0000 463.0000
1260.0000 471.0000
1320.0000 531.0000
1380.0000 534.0000
1440.0000 551.0000
1500.0000 584.0000
1920.0000 644.0000
1980.0000 688.0000
2040.0000 716.0000
2100.0000 764.0000
2160.0000 805.0000
2220.0000 858.0000
2280.0000 877.0000
2340.0000 937.0000
2400.0000 1011.0000
2460.0000 1077.0000
2520.0000 1081.0000
2760.0000 1162.0000
2820.0000 1273.0000
2880.0000 1365.0000
2940.0000 1448.0000
3000.0000 1508.0000
3060.0000 1568.0000
3120.0000 1628.0000
3180.0000 1637.0000
3660.0000 1676.0000
3840.0000 1699.0000
3960.0000 1720.0000
4320.0000 1763.0000
4380.0000 1767.0000
5280.0000 1782.0000
6540.0000 1829.0000
6600.0000 1844.0000
6900.0000 1850.0000
6960.0000 1930.0000
7020.0000 1939.0000
7440.0000 1958.0000
7500.0000 1978.0000
8040.0000 2109.0000
8100.0000 2169.0000
8160.0000 2197.0000
11160.0000 2234.0000
11220.0000 2246.0000
11340.0000 2269.0000
11400.0000 2313.0000
11460.0000 2351.0000
11520.0000 2393.0000
11580.0000 2396.0000
11640.0000 2507.0000
