1.0 C n79 M1
6.099999999999994 CONN n852 n62 up
9.099999999999984 CONN n704 n62 up
9.099999999999984 CONN n704 n852 up
11.099999999999977 CONN n891 n329 up
11.099999999999977 CONN n891 n217 up
13.09999999999997 CONN n463 n704 up
13.09999999999997 CONN n463 n62 up
13.09999999999997 CONN n463 n852 up
13.09999999999997 CONN n440 n217 up
13.09999999999997 CONN n364 n179 up
14.099999999999966 CONN n534 n268 up
14.499999999999964 CONN n329 n891 down
16.09999999999996 CONN n875 n704 up
16.09999999999996 CONN n875 n62 up
16.09999999999996 CONN n875 n852 up
16.09999999999996 CONN n875 n463 up
17.099999999999973 CONN n921 n329 up
17.799999999999983 CONN n704 n463 down
18.099999999999987 CONN n465 n704 up
18.099999999999987 CONN n465 n62 up
18.099999999999987 CONN n465 n852 up
18.099999999999987 CONN n465 n463 up
18.099999999999987 CONN n465 n875 up
19.0 CONN n46 n704 up
19.0 CONN n46 n62 up
19.0 CONN n46 n852 up
19.0 CONN n46 n463 up
19.0 CONN n46 n875 up
19.0 CONN n46 n465 up
20.000000000000014 CONN n19 n704 up
20.000000000000014 CONN n19 n810 up
20.000000000000014 CONN n19 n62 up
20.000000000000014 CONN n19 n852 up
20.000000000000014 CONN n19 n463 up
20.000000000000014 CONN n19 n831 up
20.000000000000014 CONN n19 n875 up
20.000000000000014 CONN n19 n465 up
20.000000000000014 CONN n19 n46 up
21.00000000000003 CONN n65 n810 up
21.00000000000003 CONN n65 n852 up
21.00000000000003 CONN n65 n831 up
21.00000000000003 CONN n65 n875 up
21.00000000000003 CONN n65 n46 up
21.00000000000003 CONN n65 n19 up
22.40000000000005 CONN n463 n62 down
22.60000000000005 CONN n65 n852 down
23.000000000000057 CONN n50 n68 up
23.000000000000057 CONN n611 n768 up
24.00000000000007 CONN n705 n704 up
24.00000000000007 CONN n705 n810 up
24.00000000000007 CONN n705 n62 up
24.00000000000007 CONN n705 n852 up
24.00000000000007 CONN n705 n875 up
24.00000000000007 CONN n705 n46 up
24.00000000000007 CONN n705 n19 up
24.00000000000007 CONN n705 n65 up
24.00000000000007 CONN n840 n810 up
24.00000000000007 CONN n840 n705 up
24.00000000000007 CONN n840 n19 up
24.00000000000007 CONN n840 n65 up
24.100000000000072 CONN n465 n19 down
24.300000000000075 CONN n810 n875 up
25.000000000000085 CONN n317 n704 up
25.000000000000085 CONN n317 n62 up
25.000000000000085 CONN n317 n705 up
25.000000000000085 CONN n317 n852 up
25.000000000000085 CONN n317 n875 up
25.000000000000085 CONN n317 n46 up
25.000000000000085 CONN n350 n831 up
25.000000000000085 CONN n350 n65 up
27.40000000000012 CONN n463 n65 up
27.600000000000122 CONN n65 n810 down
28.000000000000128 CONN n19 n350 up
28.300000000000132 CONN n875 n463 down
28.90000000000014 CONN n317 n705 down
29.200000000000145 CONN n62 n19 down
29.800000000000153 CONN n463 n350 up
30.100000000000158 CONN n65 n46 down
32.000000000000185 CONN n888 n810 up
32.000000000000185 CONN n888 n705 up
32.000000000000185 CONN n888 n840 up
32.000000000000185 CONN n888 n852 up
32.000000000000185 CONN n888 n463 up
32.000000000000185 CONN n888 n831 up
32.000000000000185 CONN n888 n875 up
32.000000000000185 CONN n888 n46 up
32.000000000000185 CONN n888 n19 up
32.000000000000185 CONN n888 n65 up
32.000000000000185 CONN n888 n350 up
32.000000000000185 CONN n888 n704 up
32.800000000000196 CONN n364 n317 up
33.60000000000021 CONN n704 n810 up
35.20000000000023 CONN n139 n347 up
35.20000000000023 CONN n463 n831 up
35.30000000000023 CONN n852 n705 down
35.40000000000023 CONN n875 n65 down
36.40000000000025 CONN n179 n317 up
36.60000000000025 CONN n317 n852 down
36.80000000000025 CONN n364 n62 up
37.000000000000256 CONN n46 n463 down
