-Alguns testes aqui para verificar se o algoritmo TVSP até o momento está retornando o shortest path correto (SP = shortest path)

-Testes feitos para a simulação de até 10000 segundos.

- Dei um jeito de considerar todos intervalos. Como? Simples, divido eles em arestas separadas (Seria como se
o grafo tivesse arestas paralelas, o que é uma interpretação totalmente aceitável), e coloco o limite inferior de cada
intervalo como o peso da aresta. Considerando que a velocidade de transferêncai das interfaces de rede é muito grande,
é praticamente garantido que se um par de nós conectou, SEMPRE a única mensagem será transferida sem queda de conexão.
-----------------------------------------------------------------------------------------------
Origin		Destination		Expected_SP					Resulting_SP				Test_Result
-----------------------------------------------------------------------------------------------
n79			n7				n79 n43 n7					n79 n43 n7					OK
n79			n19				n79 n22 n19					n79 n22 n19					OK
n79			n22				n79 n22						n79 n22						OK
n79			n25				n79 n43 n25					n79 n43 n25					OK
n79			n30				NOT FOUND					NOT FOUND					OK
n79			n37				n79 n22 n37					n79 n22 n37					OK
n79			n40				n79	n43	n40					n79	n43	n40					OK
n79			n43				n79 n43						n79 n43						OK
n79			n79				NOT FOUND					NOT FOUND					OK
n79			n83				n79 n22 n19 n83				n79 n22 n19 n83				OK
n79			n89				n79 n22 n89					n79 n22 n89					OK
n79			n91				n79 n43 n7 n91				n79 n43 n7 n91				OK
n79			n95				NOT FOUND					NOT FOUND					OK
n79			n106			n79 n22 n19 n83 n106		n79 n22 n19 n83 n106		OK
n79			n113			NOT FOUND					NOT FOUND					OK				
n79			n117			n79 n22 n19 n83 n106 n117	n79 n22 n19 n83 n106 n117	OK
n79			n119			NOT FOUND					NOT FOUND					OK
n25			n7				n25 n43 n7					n25 n43 n7					OK
n25			n19				NOT FOUND					NOT FOUND					OK
n25			n22				n25 n43 n40 n22				n25 n43 n40 n22				OK
n25			n25				NOT FOUND					NOT FOUND					OK
n25			n30				NOT FOUND					NOT FOUND					OK
n25			n37				n25 n43 n40 n22 n37			n25 n43 n40 n22 n37			OK
n25			n40				n25 n43 n40					n25 n43 n40					OK
n25			n43				n25 n43						n25 n43						OK
n25			n83				NOT FOUND					NOT FOUND					OK
n25			n89				n25 n89						n25 n89						OK
n25			n91				n25 n43 n7 n91				n25 n43 n7 n91				OK
n25			n95				NOT FOUND					NOT FOUND					OK
n25			n106			NOT FOUND					NOT FOUND					OK
n25			n113			NOT FOUND					NOT FOUND					OK
n25			n117			NOT FOUND					NOT FOUND					OK
n25			n119			NOT FOUND					NOT FOUND					OK
n30			n7				NOT FOUND					NOT FOUND					OK
n30			n19				NOT FOUND					NOT FOUND					OK
n30			n22				NOT FOUND					NOT FOUND					OK
n30			n25				NOT FOUND					NOT FOUND					OK
n30			n30				NOT FOUND					NOT FOUND					OK
n30			n37				NOT FOUND					NOT FOUND					OK
n30			n40				NOT FOUND					NOT FOUND					OK
n30			n43				NOT FOUND					NOT FOUND					OK
n30			n83				NOT FOUND					NOT FOUND					OK
n30			n89				NOT FOUND					NOT FOUND					OK
n30			n91				NOT FOUND					NOT FOUND					OK
n30			n95				NOT FOUND					NOT FOUND					OK
n30			n106			NOT FOUND					NOT FOUND					OK
n30			n113			n30 n113					n30	n113					OK
n30			n119			n30 n119					n30 n119					OK
