1.0 C n153 M1
237.1999999999908 CONN n89 n83 up
249.99999999999008 CONN n89 n83 down
1143.1000000000558 CONN n83 n91 up
1146.0000000000532 CONN n83 n91 down
1912.2999999993563 CONN n43 n25 up
1915.4999999993533 CONN n25 n43 down
2383.7999999989274 CONN n106 n19 up
2398.699999998914 CONN n106 n19 down
2407.7999999989056 CONN n40 n43 up
2411.699999998902 CONN n40 n43 down
3063.1999999983095 CONN n89 n25 up
3082.8999999982916 CONN n25 n89 down
3637.599999997787 CONN n22 n19 up
3644.299999997781 CONN n19 n22 down
3802.1999999976374 CONN n43 n7 up
3806.3999999976336 CONN n43 n7 down
3934.1999999975174 CONN n25 n40 up
3938.099999997514 CONN n25 n40 down
5236.000000001517 CONN n7 n25 up
5238.900000001528 CONN n25 n7 down
6934.500000007696 CONN n7 n22 up
6953.800000007766 CONN n22 n7 down
7988.000000011529 CONN n113 n119 up
7995.000000011554 CONN n30 n119 up
7995.000000011554 CONN n30 n113 up
7999.900000011572 CONN n119 n30 down
8006.500000011596 CONN n113 n30 down
8011.700000011615 CONN n119 n113 down
11152.500000023041 CONN n37 n119 up
11162.200000023076 CONN n37 n119 down
11377.300000023859 CONN n37 n95 up
11385.200000023888 CONN n37 n95 down
11469.800000024195 CONN n30 n95 up
11478.900000024229 CONN n30 n95 down
11642.000000024822 CONN n113 n37 up
11653.200000024863 CONN n113 n37 down
14908.600000036706 CONN n119 n30 up
14928.80000003678 CONN n119 n30 down
15184.200000037708 CONN n95 n119 up
15206.900000037791 CONN n95 n119 down
15224.100000037854 CONN n95 n30 up
15256.30000003797 CONN n30 n95 down
17229.000000029777 CONN n147 n120 up
17264.800000029256 CONN n147 n120 down
17599.500000024385 CONN n143 n131 up
17603.500000024327 CONN n143 n131 down
17741.300000022322 CONN n134 n120 up
17764.90000002198 CONN n120 n134 down
17823.000000021133 CONN n131 n168 up
17831.000000021017 CONN n131 n168 down
18061.00000001767 CONN n185 n182 up
18082.600000017355 CONN n182 n185 down
18535.700000010762 CONN n145 n152 up
18559.600000010414 CONN n152 n145 down
18641.800000009218 CONN n128 n176 up
18643.400000009195 CONN n128 n176 down
18706.800000008272 CONN n182 n143 up
18710.700000008215 CONN n182 n143 down
18928.500000005046 CONN n59 n212 up
18932.500000004988 CONN n59 n212 down
18977.200000004337 CONN n147 n74 up
18980.100000004295 CONN n147 n74 down
19069.90000000299 CONN n131 n196 up
19073.10000000294 CONN n131 n196 down
19135.80000000203 CONN n153 n196 up
19137.00000000201 CONN n153 n196 down
19186.200000001296 CONN n150 n139 up
19187.700000001274 CONN n139 n150 down
19318.099999999376 CONN n252 n238 up
19365.29999999869 CONN n252 n238 down
19413.49999999799 CONN n134 n226 up
19427.399999997786 CONN n226 n134 down
19560.39999999585 CONN n244 n180 up
19567.89999999574 CONN n180 n244 down
19577.399999995603 CONN n226 n186 up
19586.699999995468 CONN n186 n226 down
19589.89999999542 CONN n264 n252 up
19595.49999999534 CONN n252 n264 down
19609.99999999513 CONN n134 n156 up
19618.599999995004 CONN n156 n134 down
19624.199999994922 CONN n264 n238 up
19631.09999999482 CONN n238 n264 down
19632.399999994803 CONN n184 n254 up
19643.49999999464 CONN n184 n254 down
19647.499999994583 CONN n168 n147 up
19650.599999994538 CONN n168 n147 down
19688.599999993985 CONN n268 n252 up
19689.799999993968 CONN n268 n252 down
19698.399999993842 CONN n252 n186 up
19746.59999999314 CONN n252 n186 down
19768.899999992816 CONN n156 n186 up
19777.999999992684 CONN n156 n238 up
19780.099999992653 CONN n301 n156 up
19780.099999992653 CONN n301 n238 up
19782.599999992617 CONN n301 n156 down
19784.39999999259 CONN n301 n238 down
19786.49999999256 CONN n238 n156 down
19796.399999992416 CONN n186 n156 down
19809.699999992223 CONN n120 n264 up
19811.99999999219 CONN n184 n139 up
19813.599999992166 CONN n184 n139 down
19816.09999999213 CONN n78 n156 up
19817.799999992105 CONN n264 n120 down
19929.899999990474 CONN n153 n226 up
19932.599999990434 CONN n153 n226 down
19937.299999990366 CONN n261 n178 up
19942.59999999029 CONN n261 n178 down
19948.09999999021 CONN n313 n307 up
19976.99999998979 CONN n156 n78 down
19990.199999989596 CONN n313 n307 down
20029.999999989017 CONN n120 n186 up
20038.299999988896 CONN n120 n186 down
20042.19999998884 CONN n220 n239 up
20049.79999998873 CONN n239 n220 down
20064.499999988515 CONN n252 n153 up
20067.899999988465 CONN n134 n178 up
20068.499999988457 CONN n252 n153 down
20075.399999988356 CONN n134 n178 down
20098.699999988017 CONN n153 n238 up
20105.199999987923 CONN n238 n153 down
20125.39999998763 CONN n329 n322 up
20140.9999999874 CONN n168 n301 up
20148.499999987293 CONN n150 n145 up
20150.499999987263 CONN n145 n150 down
20150.999999987256 CONN n168 n301 down
20153.699999987217 CONN n120 n78 up
20160.799999987114 CONN n329 n322 down
20168.399999987003 CONN n120 n78 down
20172.899999986937 CONN n210 n14 up
20178.79999998685 CONN n210 n14 down
20189.89999998669 CONN n156 n120 up
20200.99999998653 CONN n131 n175 up
20201.799999986517 CONN n120 n156 down
20206.29999998645 CONN n175 n131 down
20222.09999998622 CONN n176 n329 up
20235.599999986025 CONN n329 n176 down
20242.299999985928 CONN n146 n217 up
20255.699999985733 CONN n217 n146 down
20270.099999985523 CONN n158 n186 up
20272.39999998549 CONN n298 n303 up
20272.599999985487 CONN n14 n288 up
20277.19999998542 CONN n14 n288 down
20284.199999985318 CONN n227 n120 up
20291.099999985217 CONN n186 n158 down
20291.799999985207 CONN n303 n298 down
20295.899999985148 CONN n242 n166 up
20299.0999999851 CONN n166 n242 down
20301.499999985066 CONN n298 n303 up
20304.999999985015 CONN n298 n303 down
20307.699999984976 CONN n227 n120 down
20314.29999998488 CONN n153 n333 up
20354.699999984292 CONN n78 n146 up
20361.999999984186 CONN n156 n158 up
20363.79999998416 CONN n182 n131 up
20364.39999998415 CONN n137 n78 up
