1.0 C n79 M1
5.099999999999998 CONN n354 n208 up
6.099999999999994 CONN n331 n358 up
8.099999999999987 CONN n249 n225 up
8.099999999999987 CONN n361 n225 up
8.199999999999987 CONN n361 n249 up
10.09999999999998 CONN n249 n317 up
10.09999999999998 CONN n335 n154 up
10.09999999999998 CONN n335 n361 up
10.09999999999998 CONN n335 n331 up
11.099999999999977 CONN n26 n249 up
12.099999999999973 CONN n19 n319 up
13.399999999999968 CONN n335 n154 down
14.099999999999966 CONN n38 n361 up
14.099999999999966 CONN n38 n26 up
14.099999999999966 CONN n38 n19 up
14.299999999999965 CONN n26 n361 up
15.099999999999962 CONN n157 n361 up
15.099999999999962 CONN n157 n335 up
15.099999999999962 CONN n157 n358 up
15.099999999999962 CONN n157 n331 up
16.09999999999996 CONN n69 n225 up
16.09999999999996 CONN n69 n317 up
16.09999999999996 CONN n69 n249 up
16.09999999999996 CONN n69 n26 up
16.79999999999997 CONN n69 n361 up
17.69999999999998 CONN n157 n154 up
18.099999999999987 CONN n157 n358 down
19.500000000000007 CONN n225 n317 up
19.80000000000001 CONN n283 n273 up
20.000000000000014 CONN n334 n225 up
20.000000000000014 CONN n334 n249 up
20.000000000000014 CONN n334 n361 up
20.000000000000014 CONN n334 n69 up
20.000000000000014 CONN n9 n225 up
20.000000000000014 CONN n9 n335 up
20.000000000000014 CONN n9 n334 up
20.50000000000002 CONN n225 n361 down
22.000000000000043 CONN n62 n225 up
22.000000000000043 CONN n62 n317 up
22.000000000000043 CONN n62 n249 up
22.000000000000043 CONN n62 n361 up
22.000000000000043 CONN n62 n26 up
22.000000000000043 CONN n62 n69 up
22.000000000000043 CONN n62 n334 up
22.000000000000043 CONN n62 n9 up
22.000000000000043 CONN n9 n264 up
23.000000000000057 CONN n211 n275 up
24.00000000000007 CONN n334 n335 up
24.00000000000007 CONN n361 n157 down
24.70000000000008 CONN n249 n38 up
24.900000000000084 CONN n225 n249 down
25.000000000000085 CONN n191 n258 up
25.200000000000088 CONN n69 n334 down
25.200000000000088 CONN n334 n317 up
25.30000000000009 CONN n358 n101 up
26.200000000000102 CONN n225 n69 down
26.500000000000107 CONN n334 n249 down
27.000000000000114 CONN n334 n361 down
27.000000000000114 CONN n152 n282 up
28.10000000000013 CONN n249 n317 down
29.000000000000142 CONN n88 n85 up
29.60000000000015 CONN n62 n361 down
29.60000000000015 CONN n38 n19 down
29.60000000000015 CONN n334 n26 up
30.400000000000162 CONN n19 n249 up
31.200000000000173 CONN n62 n249 down
32.60000000000019 CONN n26 n335 up
33.60000000000021 CONN n157 n154 down
34.200000000000216 CONN n19 n69 up
34.200000000000216 CONN n225 n9 down
34.30000000000022 CONN n361 n335 down
34.60000000000022 CONN n358 n331 down
34.70000000000022 CONN n69 n62 down
35.500000000000234 CONN n157 n38 up
36.200000000000244 CONN n264 n334 up
36.50000000000025 CONN n26 n62 down
36.80000000000025 CONN n319 n19 down
37.20000000000026 CONN n19 n361 up
37.20000000000026 CONN n335 n157 down
37.90000000000027 CONN n98 n77 up
38.10000000000027 CONN n331 n358 up
38.80000000000028 CONN n225 n69 up
38.90000000000028 CONN n208 n354 down
39.700000000000294 CONN n225 n26 up
40.3000000000003 CONN n78 n67 up
40.70000000000031 CONN n319 n19 up
41.70000000000032 CONN n334 n317 down
42.80000000000034 CONN n154 n331 up
43.10000000000034 CONN n26 n334 down
43.40000000000035 CONN n334 n225 down
43.70000000000035 CONN n157 n331 down
43.900000000000354 CONN n335 n26 down
44.000000000000355 CONN n249 n225 up
44.80000000000037 CONN n319 n361 up
45.00000000000037 CONN n120 n358 up
45.00000000000037 CONN n120 n331 up
45.00000000000037 CONN n120 n101 up
45.400000000000375 CONN n334 n264 down
45.400000000000375 CONN n69 n361 down
45.60000000000038 CONN n26 n19 up
45.70000000000038 CONN n9 n62 down
