1.0 C n79 M1
1.0 CONN n72 n294 up
5.099999999999998 CONN n354 n208 up
6.099999999999994 CONN n331 n154 up
7.099999999999991 CONN n317 n225 up
8.099999999999987 CONN n249 n225 up
8.099999999999987 CONN n249 n317 up
8.099999999999987 CONN n361 n225 up
8.099999999999987 CONN n361 n317 up
8.099999999999987 CONN n361 n249 up
10.09999999999998 CONN n335 n225 up
10.09999999999998 CONN n335 n331 up
10.09999999999998 CONN n335 n249 up
10.09999999999998 CONN n335 n361 up
11.099999999999977 CONN n26 n225 up
11.099999999999977 CONN n26 n317 up
11.099999999999977 CONN n26 n249 up
11.099999999999977 CONN n26 n361 up
11.099999999999977 CONN n26 n335 up
12.099999999999973 CONN n19 n361 up
12.399999999999972 CONN n72 n294 down
12.399999999999972 CONN n101 n358 up
14.099999999999966 CONN n38 n361 up
14.099999999999966 CONN n38 n26 up
14.099999999999966 CONN n38 n19 up
15.099999999999962 CONN n157 n154 up
15.099999999999962 CONN n157 n331 up
15.099999999999962 CONN n157 n335 up
15.499999999999961 CONN n26 n19 up
16.09999999999996 CONN n69 n225 up
16.09999999999996 CONN n69 n317 up
16.09999999999996 CONN n69 n249 up
16.09999999999996 CONN n69 n361 up
16.09999999999996 CONN n69 n26 up
16.09999999999996 CONN n69 n38 up
16.399999999999963 CONN n319 n19 up
16.79999999999997 CONN n361 n317 down
17.199999999999974 CONN n361 n335 down
19.0 CONN n283 n273 up
20.000000000000014 CONN n334 n225 up
20.000000000000014 CONN n334 n331 up
20.000000000000014 CONN n334 n317 up
20.000000000000014 CONN n334 n249 up
20.000000000000014 CONN n334 n361 up
20.000000000000014 CONN n334 n335 up
20.000000000000014 CONN n334 n26 up
20.000000000000014 CONN n334 n157 up
20.000000000000014 CONN n334 n69 up
20.000000000000014 CONN n9 n225 up
20.000000000000014 CONN n9 n249 up
20.000000000000014 CONN n9 n335 up
20.000000000000014 CONN n9 n26 up
20.000000000000014 CONN n9 n157 up
20.000000000000014 CONN n9 n69 up
20.000000000000014 CONN n9 n334 up
20.900000000000027 CONN n9 n69 down
21.00000000000003 CONN n225 n361 down
21.300000000000033 CONN n361 n249 down
21.80000000000004 CONN n334 n361 down
22.000000000000043 CONN n62 n225 up
22.000000000000043 CONN n62 n317 up
22.000000000000043 CONN n62 n249 up
22.000000000000043 CONN n62 n69 up
22.000000000000043 CONN n62 n334 up
22.000000000000043 CONN n62 n9 up
24.00000000000007 CONN n26 n9 down
24.900000000000084 CONN n38 n69 down
25.000000000000085 CONN n191 n258 up
26.200000000000102 CONN n319 n38 up
27.000000000000114 CONN n152 n282 up
27.300000000000118 CONN n154 n157 down
27.40000000000012 CONN n317 n26 down
28.20000000000013 CONN n9 n157 down
28.80000000000014 CONN n208 n354 down
29.000000000000142 CONN n88 n85 up
31.00000000000017 CONN n331 n334 down
31.900000000000183 CONN n319 n361 up
33.0000000000002 CONN n69 n361 down
33.2000000000002 CONN n62 n9 down
33.400000000000205 CONN n78 n67 up
34.50000000000022 CONN n335 n225 down
35.30000000000023 CONN n335 n249 down
35.80000000000024 CONN n225 n9 down
37.50000000000026 CONN n62 n26 up
37.600000000000264 CONN n9 n249 down
38.10000000000027 CONN n9 n335 down
38.400000000000276 CONN n69 n334 down
40.0000000000003 CONN n98 n77 up
41.900000000000325 CONN n26 n62 down
43.60000000000035 CONN n157 n26 up
44.20000000000036 CONN n334 n9 down
44.700000000000365 CONN n26 n335 down
45.00000000000037 CONN n120 n9 up
45.00000000000037 CONN n120 n264 up
45.50000000000038 CONN n26 n319 up
46.700000000000394 CONN n264 n9 up
50.70000000000045 CONN n361 n26 down
51.000000000000455 CONN n225 n19 up
52.60000000000048 CONN n225 n319 up
53.60000000000049 CONN n225 n38 up
54.500000000000504 CONN n249 n19 up
54.80000000000051 CONN n249 n319 up
57.300000000000544 CONN n334 n317 down
57.300000000000544 CONN n289 n318 up
57.60000000000055 CONN n208 n361 up
57.70000000000055 CONN n225 n334 down
59.10000000000057 CONN n67 n78 down
59.400000000000574 CONN n334 n157 down
59.500000000000576 CONN n331 n157 down
59.90000000000058 CONN n225 n317 down
60.00000000000058 CONN n334 n26 down
60.50000000000059 CONN n38 n249 up
60.70000000000059 CONN n249 n334 down
61.90000000000061 CONN n361 n319 down
62.50000000000062 CONN n358 n18 up
62.900000000000624 CONN n69 n319 up
63.000000000000625 CONN n319 n157 up
63.40000000000063 CONN n335 n331 down
63.600000000000634 CONN n317 n249 down
63.80000000000064 CONN n225 n62 down
64.50000000000061 CONN n19 n361 down
65.30000000000057 CONN n88 n85 down
66.00000000000053 CONN n154 n18 up
66.90000000000047 CONN n157 n19 up
67.20000000000046 CONN n249 n62 down
67.30000000000045 CONN n258 n191 down
69.50000000000033 CONN n208 n38 up
70.60000000000026 CONN n62 n69 down
70.70000000000026 CONN n69 n19 up
71.8000000000002 CONN n157 n335 down
73.70000000000009 CONN n317 n69 down
74.40000000000005 CONN n319 n62 up
75.10000000000001 CONN n163 n338 up
75.49999999999999 CONN n319 n334 up
76.69999999999992 CONN n38 n319 down
79.19999999999978 CONN n319 n157 down
79.49999999999976 CONN n72 n65 up
83.79999999999951 CONN n19 n157 down
84.39999999999948 CONN n38 n157 up
84.49999999999947 CONN n38 n19 down
84.69999999999946 CONN n9 n264 down
85.59999999999941 CONN n208 n157 up
85.99999999999939 CONN n62 n120 up
85.99999999999939 CONN n317 n120 up
86.29999999999937 CONN n331 n18 up
87.39999999999931 CONN n19 n62 up
88.09999999999927 CONN n264 n120 down
88.69999999999924 CONN n334 n19 up
89.69999999999918 CONN n69 n26 down
92.899999999999 CONN n319 n225 down
94.09999999999893 CONN n208 n26 up
94.19999999999892 CONN n157 n26 down
94.99999999999888 CONN n249 n319 down
95.39999999999885 CONN n101 n358 down
95.79999999999883 CONN n26 n319 down
96.89999999999877 CONN n289 n318 down
97.29999999999875 CONN n88 n223 up
97.69999999999872 CONN n69 n319 down
98.79999999999866 CONN n19 n225 down
99.29999999999863 CONN n225 n208 up
99.29999999999863 CONN n283 n273 down
100.59999999999856 CONN n208 n361 down
101.39999999999851 CONN n249 n208 up
103.69999999999838 CONN n120 n9 down
104.79999999999832 CONN n317 n62 down
105.49999999999828 CONN n26 n69 up
105.99999999999825 CONN n85 n9 up
106.69999999999821 CONN n157 n26 up
106.69999999999821 CONN n19 n69 down
108.29999999999812 CONN n157 n361 up
108.39999999999812 CONN n208 n19 up
109.19999999999807 CONN n72 n65 down
109.99999999999802 CONN n38 n208 down
110.29999999999801 CONN n208 n225 down
111.19999999999796 CONN n120 n264 up
112.0999999999979 CONN n323 n320 up
112.0999999999979 CONN n249 n19 down
112.39999999999789 CONN n208 n157 down
112.49999999999788 CONN n331 n358 up
113.19999999999784 CONN n62 n264 up
113.59999999999782 CONN n157 n225 up
113.59999999999782 CONN n62 n19 down
113.59999999999782 CONN n283 n273 up
114.49999999999777 CONN n19 n26 down
115.19999999999773 CONN n264 n85 up
115.6999999999977 CONN n77 n98 down
116.39999999999766 CONN n208 n319 up
116.49999999999766 CONN n208 n249 down
117.99999999999757 CONN n334 n208 up
118.09999999999756 CONN n101 n85 up
119.39999999999749 CONN n101 n264 up
120.09999999999745 CONN n9 n85 down
121.79999999999735 CONN n208 n26 down
121.89999999999735 CONN n38 n249 down
122.09999999999734 CONN n154 n18 down
122.19999999999733 CONN n358 n154 up
122.19999999999733 CONN n208 n335 up
124.3999999999972 CONN n249 n157 up
127.19999999999705 CONN n335 n18 up
127.39999999999704 CONN n335 n208 down
127.59999999999702 CONN n331 n18 down
128.99999999999696 CONN n208 n26 up
129.29999999999694 CONN n334 n62 down
129.39999999999694 CONN n361 n157 down
130.89999999999685 CONN n120 n317 down
131.09999999999684 CONN n208 n334 down
131.5999999999968 CONN n319 n208 down
132.19999999999678 CONN n120 n319 up
132.49999999999676 CONN n157 n69 up
134.59999999999664 CONN n283 n273 down
134.89999999999662 CONN n354 n211 up
135.89999999999657 CONN n358 n154 down
135.99999999999656 CONN n323 n320 down
136.09999999999656 CONN n334 n19 down
136.59999999999653 CONN n208 n249 up
136.69999999999652 CONN n101 n62 up
136.69999999999652 CONN n85 n62 up
137.99999999999645 CONN n358 n331 down
138.09999999999644 CONN n19 n334 up
138.19999999999644 CONN n18 n334 up
138.29999999999643 CONN n18 n358 down
139.09999999999638 CONN n208 n19 down
141.29999999999626 CONN n38 n26 down
142.89999999999617 CONN n18 n85 up
143.9999999999961 CONN n338 n163 down
147.09999999999593 CONN n157 n208 up
147.19999999999592 CONN n225 n208 up
148.39999999999586 CONN n101 n120 up
149.89999999999577 CONN n334 n85 up
150.39999999999574 CONN n77 n284 up
150.79999999999572 CONN n264 n319 up
150.9999999999957 CONN n208 n157 down
151.89999999999566 CONN n38 n208 up
152.39999999999563 CONN n85 n335 up
152.6999999999956 CONN n319 n101 up
155.89999999999543 CONN n157 n38 down
156.4999999999954 CONN n85 n319 up
156.69999999999538 CONN n208 n38 down
157.29999999999535 CONN n120 n19 up
157.49999999999534 CONN n361 n152 up
157.49999999999534 CONN n26 n69 down
159.39999999999523 CONN n157 n26 down
160.79999999999515 CONN n85 n62 down
162.29999999999507 CONN n225 n208 down
162.69999999999504 CONN n101 n85 down
164.39999999999495 CONN n334 n319 down
165.49999999999488 CONN n223 n88 down
167.29999999999478 CONN n249 n208 down
167.29999999999478 CONN n225 n26 down
169.39999999999466 CONN n19 n264 up
169.49999999999466 CONN n361 n282 up
169.99999999999463 CONN n19 n85 up
170.3999999999946 CONN n19 n334 down
170.89999999999458 CONN n264 n85 down
171.89999999999452 CONN n9 n317 up
172.4999999999945 CONN n26 n249 down
174.79999999999436 CONN n338 n163 up
175.29999999999433 CONN n152 n38 up
176.59999999999425 CONN n19 n101 up
178.59999999999414 CONN n85 n319 down
180.39999999999404 CONN n62 n19 up
180.69999999999402 CONN n282 n38 up
182.5999999999939 CONN n208 n26 down
183.09999999999388 CONN n77 n284 down
186.0999999999937 CONN n85 n208 up
190.39999999999347 CONN n85 n19 down
191.19999999999342 CONN n62 n120 down
194.8999999999932 CONN n211 n152 up
195.0999999999932 CONN n331 n353 up
195.99999999999315 CONN n249 n38 up
197.69999999999305 CONN n38 n152 down
198.499999999993 CONN n157 n225 down
200.09999999999292 CONN n225 n282 up
201.79999999999282 CONN n319 n120 down
202.69999999999277 CONN n211 n361 up
204.89999999999264 CONN n157 n249 down
205.29999999999262 CONN n354 n211 down
205.99999999999258 CONN n101 n120 down
206.39999999999256 CONN n38 n282 down
208.9999999999924 CONN n282 n211 up
209.0999999999924 CONN n9 n317 down
209.89999999999236 CONN n120 n264 down
209.89999999999236 CONN n120 n19 down
210.29999999999234 CONN n120 n208 up
210.39999999999233 CONN n353 n154 up
210.9999999999923 CONN n38 n69 up
212.7999999999922 CONN n18 n19 up
213.39999999999216 CONN n249 n361 up
214.09999999999212 CONN n249 n282 up
214.19999999999212 CONN n85 n18 down
214.3999999999921 CONN n18 n264 up
215.39999999999205 CONN n225 n38 down
215.999999999992 CONN n378 n362 up
218.39999999999188 CONN n9 n6 up
218.69999999999186 CONN n38 n69 down
222.09999999999167 CONN n249 n152 up
222.69999999999163 CONN n38 n211 up
222.99999999999162 CONN n98 n356 up
223.89999999999156 CONN n264 n62 down
224.69999999999152 CONN n225 n69 down
224.7999999999915 CONN n334 n85 down
225.59999999999147 CONN n378 n362 down
225.69999999999146 CONN n249 n211 up
226.19999999999143 CONN n18 n334 down
226.6999999999914 CONN n18 n319 up
226.8999999999914 CONN n334 n358 up
227.19999999999138 CONN n335 n85 down
227.79999999999134 CONN n38 n282 up
230.2999999999912 CONN n152 n38 up
231.49999999999113 CONN n225 n282 down
231.8999999999911 CONN n249 n69 down
232.49999999999108 CONN n319 n18 down
232.59999999999107 CONN n18 n335 down
232.89999999999105 CONN n358 n335 up
233.899999999991 CONN n319 n264 down
236.49999999999085 CONN n211 n361 down
237.1999999999908 CONN n282 n211 down
238.19999999999075 CONN n152 n211 down
238.59999999999073 CONN n266 n262 up
239.0999999999907 CONN n101 n62 down
239.79999999999066 CONN n211 n249 down
239.99999999999065 CONN n319 n101 down
240.39999999999063 CONN n249 n225 down
241.19999999999058 CONN n361 n38 down
242.7999999999905 CONN n359 n121 up
242.99999999999048 CONN n38 n249 down
245.49999999999034 CONN n317 n6 up
246.1999999999903 CONN n349 n342 up
246.79999999999026 CONN n208 n264 up
250.09999999999008 CONN n101 n120 up
252.49999999998994 CONN n85 n26 up
252.59999999998993 CONN n19 n101 down
254.59999999998982 CONN n69 n157 down
254.59999999998982 CONN n275 n354 up
254.7999999999898 CONN n358 n334 down
